timestamp,node,cpu_pct,mem_pct,cpu_cores_used,mem_used,pod_count,pods_default_ns,pods_intelligent_ns,fl_w_cpu,fl_w_mem,fl_w_pods,fl_w_hist,fl_rounds,global_w_cpu,global_w_mem,global_w_pods,global_w_hist,suitability_score,recommendation
2026-05-27 10:13:46,scheduler-demo-worker,5.97,9.59,222m,659Mi,17,5,7,0.25,0.15,0.1,0.4999,79,0.25,0.15,0.1,0.4999,0.8761,GOOD
2026-05-27 10:13:46,scheduler-demo-worker2,4.56,7.48,172m,514Mi,14,5,3,0.25,0.15,0.1,0.4999,80,0.25,0.15,0.1,0.4999,0.8995,BEST
2026-05-27 10:13:46,scheduler-demo-worker3,6.86,9.77,257m,671Mi,16,5,6,0.25,0.15,0.1,0.4999,76,0.25,0.15,0.1,0.4999,0.8792,GOOD
2026-05-27 10:13:46,scheduler-demo-worker4,4.88,7.43,231m,510Mi,15,5,4,0.25,0.15,0.1,0.4999,79,0.25,0.15,0.1,0.4999,0.8932,GOOD
